time,reaction,reaction_tense,gender,age
1.458740472793579,neutral,0.7406334,female,35
1.5352404117584229,neutral,0.7746806,female,35
1.598240852355957,neutral,0.7472977,female,35
1.6627397537231445,neutral,0.7297711,female,35
1.7277381420135498,neutral,0.72883224,female,35
1.793241024017334,neutral,0.8070173,female,35
1.8597402572631836,neutral,0.77693707,female,35
1.9247405529022217,neutral,0.85657835,female,35
1.9837381839752197,neutral,0.8365466,female,35
2.0492379665374756,neutral,0.83123887,female,35
2.325740098953247,neutral,0.8263215,female,35
2.3962409496307373,neutral,0.79199386,female,35
2.4602394104003906,neutral,0.8407592,female,35
2.5307393074035645,neutral,0.74134916,female,35
2.597240447998047,neutral,0.7555544,female,35
2.665740489959717,neutral,0.80266273,female,35
2.7317392826080322,neutral,0.7424721,female,35
2.800739049911499,neutral,0.8712081,female,35
2.865741014480591,neutral,0.7999865,female,35
2.928738594055176,neutral,0.8125886,female,35
3.2122392654418945,neutral,0.7806033,female,35
3.286241292953491,neutral,0.797848,female,35
3.3467414379119873,neutral,0.7652844,female,35
3.413741111755371,neutral,0.83667433,female,35
3.4737396240234375,neutral,0.799547,female,35
3.5372395515441895,neutral,0.7785832,female,35
3.603239059448242,neutral,0.80424976,female,35
3.6682395935058594,neutral,0.7394391,female,35
3.7317397594451904,neutral,0.7369104,female,35
3.7982401847839355,neutral,0.7572447,female,35
4.065240383148193,neutral,0.6727661,female,35
4.136239528656006,neutral,0.68295234,female,35
4.203239440917969,neutral,0.8485789,female,35
4.265239238739014,neutral,0.7857227,female,35
4.329239845275879,neutral,0.6361106,female,35
4.3962414264678955,neutral,0.6355292,female,35
4.466240406036377,neutral,0.72444266,female,35
4.533739805221558,neutral,0.79043406,female,35
4.595741033554077,neutral,0.8314457,female,35
4.6567418575286865,neutral,0.76884043,female,35
4.927757024765015,neutral,0.7233209,female,35
4.989239692687988,neutral,0.79731274,female,35
5.05873966217041,neutral,0.70634556,female,35
5.121238946914673,neutral,0.6908688,female,35
5.187739372253418,neutral,0.72875696,female,35
5.258739471435547,neutral,0.75186825,female,35
5.329784631729126,neutral,0.71330845,female,35
5.3942859172821045,neutral,0.60618067,female,35
5.458797454833984,neutral,0.6529174,female,35
5.521285057067871,neutral,0.60142297,female,35
5.7887842655181885,neutral,0.84981036,female,35
5.847785949707031,neutral,0.59735435,female,35
5.916784763336182,neutral,0.7813549,female,35
5.975783824920654,neutral,0.8115542,female,35
6.036284685134888,neutral,0.8174593,female,35
6.095784425735474,neutral,0.7562162,female,35
6.15578556060791,neutral,0.86126155,female,35
6.214785575866699,neutral,0.7510643,female,35
6.274784326553345,neutral,0.81992745,female,35
6.335293292999268,neutral,0.7444794,female,35
6.601284980773926,neutral,0.6381099,female,35
6.667284250259399,neutral,0.73471767,female,35
